I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n,7.46
50,0,3,6.96,6.84,6.96,0,6.96,7.07975,6.96,0,
50,0,4,6.96,6.86,6.96,0,6.96,7.07975,6.96,0,
50,0,5,6.96,6.94,6.96,0,6.96,7.07975,6.96,0,
50,0,6,6.96,7.1,6.96,0,6.96,7.07975,6.96,0,
50,0,7,6.96,6.08,6.96,0,6.96,7.07975,6.96,0,
50,0.02,3,7.0068,3.66,6.9,0.1068,7.48167,7.07975,6.96,0.52167,
50,0.02,4,7.0596,3.28,7,0.0596,7.76502,7.07975,6.96,0.80502,
50,0.02,5,7.0392,3.12,6.94,0.0992,7.91982,7.07975,6.96,0.95982,
50,0.02,6,7.0628,2.98,6.94,0.1228,8.04305,7.07975,6.96,1.08305,
50,0.02,7,7.1056,3,6.94,0.1656,8.10339,7.07975,6.96,1.14339,
50,0.04,3,7.0392,3.62,6.98,0.0592,7.71627,7.07975,6.96,0.77627,
50,0.04,4,7.1064,3.16,7,0.1064,8.00432,7.07975,6.96,1.06432,
50,0.04,5,7.1656,3.24,7,0.1656,8.24397,7.07975,6.96,1.30397,
50,0.04,6,7.224,3,7.02,0.204,8.50548,7.07975,6.96,1.56548,
50,0.04,7,7.3016,2.86,7.04,0.2616,8.75779,7.07975,6.96,1.81779,
50,0.06,3,7.0924,3.62,7,0.0924,8.36727,7.07975,6.96,1.42727,
50,0.06,4,7.1744,3.28,7.04,0.1344,9.18908,7.07975,6.96,2.24908,
50,0.06,5,7.2488,3.08,7,0.2488,9.2168,7.07975,6.96,2.2768,
50,0.06,6,7.3112,2.76,7.1,0.2112,9.95585,7.07975,6.96,3.01585,
50,0.06,7,7.4224,2.72,7.1,0.3224,10.09778,7.07975,6.96,3.15778,
50,0.08,3,7.124,3.74,7.02,0.104,8.35663,7.07975,6.96,1.41663,
50,0.08,4,7.1736,3.14,7.06,0.1136,9.09038,7.07975,6.96,2.15038,
50,0.08,5,7.3504,2.7,7.16,0.1904,9.64683,7.07975,6.96,2.70683,
50,0.08,6,7.34208,2.54,7.12,0.22208,10.25597,7.07975,6.96,3.31597,
50,0.08,7,7.5104,2.54,7.28,0.2304,10.55411,7.07975,6.96,3.61411,
50,0.1,3,7.1247,3.64,7,0.1247,8.72491,7.07975,6.96,1.78491,
50,0.1,4,7.20321,3.02,7.06,0.14321,9.4635,7.07975,6.96,2.5235,
50,0.1,5,7.362,2.64,7.18,0.182,10.32356,7.07975,6.96,3.38356,
50,0.1,6,7.428,2.42,7.28,0.148,11.13758,7.07975,6.96,4.19758,
50,0.1,7,7.556,2.48,7.34,0.216,11.45945,7.07975,6.96,4.51945,
100,0,3,8.96,7.5,9.02,0,8.96,7.25406,8.96,0,
100,0,4,8.96,7.24,8.99,0,8.96,7.25406,8.96,0,
100,0,5,8.96,7.64,9.01,0,8.96,7.25406,8.96,0,
100,0,6,8.96,7.43,9,0,8.96,7.25406,8.96,0,
100,0,7,8.96,7.04,9.03,0,8.96,7.25406,8.96,0,
100,0.02,3,9.0168,4.12,8.98,0.0368,9.45052,7.25406,8.97,0.48052,
100,0.02,4,9.1124,3.9,8.91,0.2024,9.69782,7.25406,8.97,0.72782,
100,0.02,5,9.0756,3.63,8.92,0.1556,9.82749,7.25406,8.97,0.85749,
100,0.02,6,9.1212,3.63,9,0.1212,9.91198,7.25406,8.97,0.94198,
100,0.02,7,9.1786,3.64,9.05,0.1286,9.96405,7.25406,8.97,0.99405,
100,0.04,3,9.052,4.25,8.98,0.072,10.15446,7.25406,8.96,1.19446,
100,0.04,4,9.154,3.87,8.7,0.454,10.84929,7.25406,8.96,1.88929,
100,0.04,5,9.19522,3.63,9.01,0.18522,11.09158,7.25406,8.96,2.13158,
100,0.04,6,9.308,3.52,9.09,0.218,11.19516,7.25406,8.96,2.23516,
100,0.04,7,9.3676,3.62,9.1,0.2676,11.30241,7.25406,8.96,2.34241,
100,0.06,3,9.1336,4.08,9.04,0.0936,10.34644,7.25406,8.96,1.38644,
100,0.06,4,9.2748,3.85,9.09,0.1848,11.18322,7.25406,8.96,2.22322,
100,0.06,5,9.3406,3.47,9.12,0.2206,11.37381,7.25406,8.96,2.41381,
100,0.06,6,9.4116,3.46,9.13,0.2816,11.56716,7.25406,8.96,2.60716,
100,0.06,7,9.451,3.38,9.15,0.301,11.70396,7.25406,8.96,2.74396,
100,0.08,3,9.1384,4.2,9,0.1384,10.41633,7.25406,8.96,1.45633,
100,0.08,4,9.2776,3.8,9.06,0.2176,11.37522,7.25406,8.96,2.41522,
100,0.08,5,9.3804,3.34,9.13,0.2504,11.98415,7.25406,8.96,3.02415,
100,0.08,6,9.5248,3.37,9.19,0.3348,12.30209,7.25406,8.96,3.34209,
100,0.08,7,9.6108,3.2,9.27,0.3408,12.45834,7.25406,8.96,3.49834,
100,0.1,3,9.206,4.13,9.07,0.136,10.24815,7.25406,8.96,1.28815,
100,0.1,4,9.339,3.62,9.1,0.239,11.1939,7.25406,8.96,2.2339,
100,0.1,5,9.455,3.2,9.22,0.235,11.47893,7.25406,8.96,2.51893,
100,0.1,6,9.566,2.91,9.27,0.296,11.75528,7.25406,8.96,2.79528,
100,0.1,7,9.642,3,9.29,0.352,12.02324,7.25406,8.96,3.06324,
150,0,3,7.46,7.40667,7.46,0,7.46,6.98898,7.46,0,
150,0,4,7.46,6.82667,7.17333,0,7.46,6.98898,7.46,0,
150,0,5,7.46,7.44667,7.46,0,7.46,6.98898,7.46,0,
150,0,6,7.46,7.34,7.46,0,7.46,6.98898,7.46,0,
150,0,7,7.46,7.48,7.46,0,7.46,6.98898,7.46,0,
150,0.02,3,7.54413,4.26,7.51333,0.0308,7.93088,6.98898,7.46,0.47088,
150,0.02,4,7.59853,3.96667,7.54667,0.05187,8.14851,6.98898,7.46,0.68851,
150,0.02,5,7.64213,3.92,7.57333,0.0688,8.34626,6.98898,7.46,0.88626,
150,0.02,6,7.68333,3.74667,7.56667,0.11667,8.48058,6.98898,7.46,1.02058,
150,0.02,7,7.69013,3.60667,7.54667,0.14347,8.57321,6.98898,7.46,1.11321,
150,0.04,3,7.59867,4.20667,7.53333,0.06533,8.32911,6.98898,7.46,0.86911,
150,0.04,4,7.6352,3.76,7.56667,0.06853,8.60565,6.98898,7.46,1.14565,
150,0.04,5,7.71253,3.58667,7.60667,0.10587,9.00719,6.98898,7.46,1.54719,
150,0.04,6,7.79813,3.36,7.64,0.15813,9.19993,6.98898,7.46,1.73993,
150,0.04,7,7.8576,3.23333,7.59333,0.26427,9.3273,6.98898,7.46,1.8673,
150,0.06,3,7.6152,3.94667,7.55333,0.06187,9.08533,6.98898,7.46,1.62533,
150,0.06,4,7.66813,3.61333,7.58,0.08813,9.7156,6.98898,7.46,2.2556,
150,0.06,5,7.77853,3.26667,7.63333,0.1452,10.2696,6.98898,7.46,2.8096,
150,0.06,6,7.8828,2.75333,7.68667,0.19613,10.63686,6.98898,7.46,3.17686,
150,0.06,7,7.97267,2.81333,7.72667,0.246,10.95859,6.98898,7.46,3.49859,
150,0.08,3,7.6704,3.83333,7.61333,0.05707,9.07203,6.98898,7.46,1.61203,
150,0.08,4,7.67627,3.45333,7.6,0.07627,9.66611,6.98898,7.46,2.20611,
150,0.08,5,7.79253,3.32667,7.61333,0.1792,10.29373,6.98898,7.46,2.83373,
150,0.08,6,7.89227,2.63333,7.78,0.11227,11.10488,6.98898,7.46,3.64488,
150,0.08,7,8.056,2.70667,7.83333,0.22267,11.67261,6.98898,7.46,4.21261,
150,0.1,3,7.66467,3.73333,7.61333,0.05133,9.78704,6.98898,7.46,2.32704,
150,0.1,4,7.696,3.42,7.60667,0.08933,10.92224,6.98898,7.46,3.46224,
150,0.1,5,7.86067,3.18667,7.72667,0.134,11.77727,6.98898,7.46,4.31727,
150,0.1,6,7.94867,2.56,7.70667,0.242,12.31139,6.98898,7.46,4.85139,
