I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n,7.46
50,0,3,6.94,6.84,6.94,0,6.94,6.92,6.94,0,
50,0,5,6.94,6.84,6.94,0,6.94,6.92,6.94,0,
50,0,7,6.94,6.84,6.94,0,6.94,6.92,6.94,0,
50,0.02,3,7.0068,3.66,6.9,0.1068,7.46167,6.92,6.94,0.50167,
50,0.02,5,7.0392,3.12,6.94,0.0992,7.89982,6.92,6.94,0.93982,
50,0.02,7,7.1056,3,6.94,0.1656,8.08339,6.92,6.94,1.12339,
50,0.04,3,7.0392,3.62,6.98,0.0592,7.73627,6.92,6.94,0.79627,
50,0.04,5,7.1656,3.24,7,0.1656,8.26397,6.92,6.94,1.32397,
50,0.04,7,7.3016,2.86,7.04,0.2616,8.77779,6.92,6.94,1.83779,
50,0.06,3,7.0924,3.62,7,0.0924,8.38727,6.92,6.94,1.44727,
50,0.06,5,7.2488,3.08,7,0.2488,9.2368,6.92,6.94,2.2968,
50,0.06,7,7.4224,2.72,7.1,0.3224,10.11778,6.92,6.94,3.17778,
50,0.08,3,7.124,3.74,7.02,0.104,8.37663,6.92,6.94,1.43663,
50,0.08,5,7.3504,2.7,7.16,0.1904,9.66683,6.92,6.94,2.72683,
50,0.08,7,7.5104,2.54,7.28,0.2304,10.57411,6.92,6.94,3.63411,
50,0.1,3,7.1247,3.64,7,0.1247,8.74491,6.92,6.94,1.80491,
50,0.1,5,7.362,2.64,7.18,0.182,10.34356,6.92,6.94,3.40356,
50,0.1,7,7.556,2.48,7.34,0.216,11.47945,6.92,6.94,4.53945,
100,0,3,8.96,7.090,8.960,0.000,8.960,7.326,8.960,0.000,
100,0,5,8.96,7.090,8.960,0.000,8.960,7.326,8.960,0.000,
100,0,7,8.96,7.090,8.960,0.000,8.960,7.326,8.960,0.000,
100,0.02,3,9.0024,4.16634,8.96,0.0424,9.562,7.326,8.960,0.602,
100,0.02,5,9.0634,3.64277,8.9298,0.1336,9.928,7.326,8.960,0.968,
100,0.02,7,9.1254,3.5999,8.9617,0.16372,10.005,7.326,8.960,1.045,
100,0.04,3,9.0436,4.3098,9.0023,0.04132,10.165,7.326,8.960,1.205,
100,0.04,5,9.1688,3.6399,9.0014,0.16741,10.897,7.326,8.960,1.937,
100,0.04,7,9.2904,3.54515,9.051,0.23941,11.050,7.326,8.960,2.090,
100,0.06,3,9.083,4.13861,9.0195,0.0635,10.767,7.326,8.960,1.807,
100,0.06,5,9.2726,3.53257,9.07,0.2026,11.865,7.326,8.960,2.905,
100,0.06,7,9.4324,3.41921,9.1397,0.2927,12.095,7.326,8.960,3.135,
100,0.08,3,9.12,4.20663,9.0304,0.0896,11.369,7.326,8.960,2.409,
100,0.08,5,9.3556,3.39871,9.1207,0.23491,12.834,7.326,8.960,3.874,
100,0.08,7,9.5404,3.2497,9.2016,0.33882,13.140,7.326,8.960,4.180,
100,0.1,3,9.157,4.11891,9.049,0.10799,11.971,7.326,8.960,3.011,
100,0.1,5,9.423,3.23119,9.2002,0.2228,13.802,7.326,8.960,4.842,
100,0.1,7,9.631,2.91792,9.3126,0.31843,14.185,7.326,8.960,5.225,
150,0,3,7.46,7.40667,7.46,0,7.46,6.98898,7.46,0,
150,0,5,7.46,7.40667,7.46,0,7.46,6.98898,7.46,0,
150,0,7,7.46,7.40667,7.46,0,7.46,6.98898,7.46,0,
150,0.02,3,7.54413,4.26,7.51333,0.0308,7.93088,6.98898,7.46,0.47088,
150,0.02,5,7.64213,3.92,7.57333,0.0688,8.34626,6.98898,7.46,0.88626,
150,0.02,7,7.69013,3.60667,7.54667,0.14347,8.57321,6.98898,7.46,1.11321,
150,0.04,3,7.59867,4.20667,7.53333,0.06533,8.32911,6.98898,7.46,0.86911,
150,0.04,5,7.71253,3.58667,7.60667,0.10587,9.00719,6.98898,7.46,1.54719,
150,0.04,7,7.8576,3.23333,7.59333,0.26427,9.3273,6.98898,7.46,1.8673,
150,0.06,3,7.6152,3.94667,7.55333,0.06187,9.08533,6.98898,7.46,1.62533,
150,0.06,5,7.77853,3.26667,7.63333,0.1452,10.2696,6.98898,7.46,2.8096,
150,0.06,7,7.97267,2.81333,7.72667,0.246,10.95859,6.98898,7.46,3.49859,
150,0.08,3,7.6704,3.83333,7.61333,0.05707,9.07203,6.98898,7.46,1.61203,
150,0.08,5,7.79253,3.32667,7.61333,0.1792,10.29373,6.98898,7.46,2.83373,
150,0.08,7,8.056,2.70667,7.83333,0.22267,11.67261,6.98898,7.46,4.21261,
150,0.1,3,7.66467,3.73333,7.61333,0.05133,9.78704,6.98898,7.46,2.32704,
150,0.1,5,7.86067,3.18667,7.72667,0.134,11.77727,6.98898,7.46,4.31727,
150,0.1,7,8.09867,2.64,7.86,0.23867,12.75079,6.98898,7.46,5.29079,
