I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrange
50,Medium,0,3,348.0,347.0,34,348.0,6.94,340.04762,6.80095,0.0,0.0,0.28476,-0.48413,-0.19824,348.0
50,Medium,0,4,347.0,347.0,42,347.0,6.94,377.84617,7.55692,0.0,0.0,0.03634,-0.38413,-0.18775,347.0
50,Medium,0,5,347.0,347.0,50,347.0,6.94,347.0,6.94,0.0,0.0,0.13203,-0.45489,-0.17708,347.0
50,Medium,0,6,347.0,347.0,34,347.0,6.94,362.52381,7.25048,0.0,0.0,0.22294,-0.45489,-0.17957,347.0
50,Medium,0,7,347.0,347.0,43,347.0,6.94,300.14286,6.00286,0.0,0.0,0.08897,-0.37857,-0.17808,347.0
50,Medium,0.02,3,348.52,348.428,128,348.52,6.9704,183.66667,3.67333,5.52,0.1104,0.15476,-0.24675,-0.13779,348.52
50,Medium,0.02,4,349.96,349.72303,143,349.96,6.9992,167.19048,3.34381,4.29333,0.08587,0.15476,-0.23292,-0.10363,349.96
50,Medium,0.02,5,351.94,351.54331,188,351.94,7.0388,157.38095,3.14762,4.94,0.0988,0.24476,-0.24675,-0.08204,351.94
50,Medium,0.02,6,353.06,352.54663,156,353.06,7.0612,148.66667,2.97333,6.06,0.1212,0.24476,-0.23292,-0.07136,353.06
50,Medium,0.02,7,355.02,354.39199,175,355.02,7.1004,148.71429,2.97429,8.02,0.1604,0.24476,-0.17857,-0.07906,355.02
50,Medium,0.04,3,350.04,349.83116,115,350.04,7.0008,183.33333,3.66667,3.04,0.0608,0.24476,-0.30952,-0.11529,350.04
50,Medium,0.04,4,352.92,352.43166,143,352.92,7.0584,163.33333,3.26667,5.92,0.1184,0.28476,-0.23292,-0.07576,352.92
50,Medium,0.04,5,356.88,356.00023,149,356.88,7.1376,160.83333,3.21667,9.88,0.1976,0.24476,-0.23292,-0.09828,356.88
50,Medium,0.04,6,359.16,357.87944,115,359.16,7.1832,2648.0,52.96,-105.84,-2.1168,0.1131,-0.23292,-0.09558,359.16
50,Medium,0.04,7,363.0,361.38975,135,363.0,7.26,144.8,2.896,12.6,0.252,0.28476,-0.18944,-0.06938,363.0
50,Medium,0.06,3,351.56,351.20819,133,351.56,7.0312,183.33333,3.66667,4.56,0.0912,0.15476,-0.23292,-0.12938,351.56
50,Medium,0.06,4,356.08,354.93269,131,356.08,7.1216,20163.0,403.26,-277.92,-5.5584,0.28476,-0.23292,-0.08118,356.08
50,Medium,0.06,5,361.08,360.13967,105,361.08,7.2216,150.0,3.0,10.08,0.2016,0.40476,-0.18944,-0.09152,361.08
50,Medium,0.06,6,363.74,362.71184,115,363.74,7.2748,138.0,2.76,11.21619,0.22432,0.24476,-0.17857,-0.06237,363.74
50,Medium,0.06,7,368.44,367.21052,109,368.44,7.3688,135.5,2.71,15.44,0.3088,0.24476,-0.17857,-0.05802,368.44
50,Medium,0.08,3,353.08,352.55773,112,353.08,7.0616,177.33333,3.54667,6.08,0.1216,0.28476,-0.24675,-0.11907,353.08
50,Medium,0.08,4,357.8,356.99128,145,357.8,7.156,153.0,3.06,6.8,0.136,0.15476,-0.23292,-0.09274,357.8
50,Medium,0.08,5,364.48,363.51947,120,364.48,7.2896,138.71429,2.77429,10.48,0.2096,0.24476,-0.18944,-0.07472,364.48
50,Medium,0.08,6,366.64,366.16999,125,366.64,7.3328,123.80952,2.47619,7.8781,0.15756,0.1131,-0.17857,,366.64
50,Medium,0.08,7,372.88,371.39137,103,372.88,7.4576,124.6,2.492,11.88,0.2376,0.24476,-0.14596,-0.04687,372.88
50,Medium,0.1,3,354.4,353.84106,173,354.4,7.088,180.61905,3.61238,6.73333,0.13467,0.05404,-0.24675,-0.13016,354.4
50,Medium,0.1,4,359.2,358.36347,107,359.2,7.184,144.66667,2.89333,8.2,0.164,0.24476,-0.23292,-0.09511,359.2
50,Medium,0.1,5,366.3,365.77167,100,366.3,7.326,128.52941,2.57059,8.94706,0.17894,0.15476,-0.18944,-0.08189,366.3
50,Medium,0.1,6,369.0,368.32199,104,369.0,7.38,118.38095,2.36762,7.7619,0.15524,-0.03968,-0.17857,-0.0743,369.0
50,Medium,0.1,7,375.8,373.84019,117,375.8,7.516,120.04762,2.40095,16.51429,0.33029,0.24476,-0.12857,-0.05225,375.8
