I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrange
50,Medium,0.04,3,350.04,349.83116,115,350.04,7.0008,186.24752,3.72495,1.86178,0.03724,0.28476,-0.23292,-0.11389,350.04
50,Medium,0.04,4,352.92,352.43166,143,352.92,7.0584,165.74257,3.31485,4.84079,0.09682,0.40476,-0.23292,-0.08133,352.92
50,Medium,0.04,5,356.92,356.00023,149,356.92,7.1384,157.45545,3.14911,7.22693,0.14454,0.24476,-0.18944,-0.0964,356.92
50,Medium,0.04,6,359.24,357.87944,115,359.24,7.1848,148.19802,2.96396,8.41822,0.16836,0.24476,-0.23292,-0.08958,359.24
50,Medium,0.04,7,362.84,361.38975,135,362.84,7.2568,144.07921,2.88158,10.8103,0.21621,0.24476,-0.17857,-0.0751,362.84
50,Medium,0.04,8,367.24,365.53097,121,367.24,7.3448,147.23762,2.94475,14.71525,0.2943,0.24476,-0.18944,-0.08928,367.24
50,Medium,0.05,3,350.8,350.52303,120,350.8,7.016,185.25743,3.70515,2.08713,0.04174,0.05404,-0.30952,-0.14354,350.8
50,Medium,0.05,4,354.4,353.73417,151,354.4,7.088,165.91089,3.31822,5.20198,0.10404,0.28476,-0.23292,-0.08296,354.4
50,Medium,0.05,5,359.35,358.14928,119,359.35,7.187,153.07921,3.06158,8.62723,0.17254,0.15476,-0.17857,-0.08306,359.35
50,Medium,0.05,6,361.65,360.46048,134,361.65,7.233,148.54455,2.97089,9.93713,0.19874,0.1131,-0.2013,-0.0874,361.65
50,Medium,0.05,7,365.85,364.48076,123,365.85,7.317,138.71287,2.77426,12.42426,0.24849,0.28476,-0.17857,-0.06409,365.85
50,Medium,0.05,8,371.3,369.31154,145,371.3,7.426,137.24752,2.74495,15.68614,0.31372,0.24476,-0.18944,-0.08148,371.3
50,Medium,0.06,3,351.56,351.20819,133,351.56,7.0312,188.9505,3.77901,3.01545,0.06031,0.15476,-0.24675,-0.1339,351.56
50,Medium,0.06,4,355.68,354.93269,131,355.68,7.1136,163.63366,3.27267,5.59089,0.11182,0.28476,-0.23292,-0.08431,355.68
50,Medium,0.06,5,361.2,360.13967,105,361.2,7.224,151.91089,3.03822,9.1604,0.18321,0.15476,-0.18944,-0.09969,361.2
50,Medium,0.06,6,363.74,362.71184,115,363.74,7.2748,138.51485,2.7703,9.81921,0.19638,0.24476,-0.17857,-0.06257,363.74
50,Medium,0.06,7,368.44,367.21052,109,368.44,7.3688,135.9505,2.71901,13.61822,0.27236,0.24476,-0.17857,-0.0628,368.44
50,Medium,0.06,8,374.1,372.48009,108,374.1,7.482,114.58416,2.29168,12.26832,0.24537,0.40476,-0.17857,-0.04823,374.1
50,Medium,0.07,3,352.39,351.88649,105,352.39,7.0478,178.36634,3.56733,3.56822,0.07136,0.24476,-0.24675,-0.1236,352.39
50,Medium,0.07,4,357.19,356.00469,117,357.19,7.1438,160.38614,3.20772,6.02168,0.12043,0.24476,-0.23292,-0.10755,357.19
50,Medium,0.07,5,362.78,361.99037,118,362.78,7.2556,143.72277,2.87446,9.17604,0.18352,0.24476,-0.18944,-0.08179,362.78
50,Medium,0.07,6,366.2,364.59261,110,366.2,7.324,136.41584,2.72832,9.65545,0.19311,0.24476,-0.17857,-0.07271,366.2
50,Medium,0.07,7,370.67,369.67999,115,370.67,7.4134,131.74257,2.63485,11.6205,0.23241,0.49451,-0.17857,-0.0456,370.67
50,Medium,0.07,8,376.28,374.61965,105,376.28,7.5256,113.9901,2.2798,10.97307,0.21946,0.24476,-0.12857,-0.0574,376.28
