I,pattern,epsilon,chi,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n
150,Medium,0,3,1500.0,10.0,1004.5049509489753,6.696699672993181,0.0,0.0,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0,4,1500.0,10.0,1004.5049509489753,6.696699672993181,0.0,0.0,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0,5,1500.0,10.0,1004.5049509489753,6.696699672993181,0.0,0.0,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0,6,1500.0,10.0,1004.5049509489753,6.696699672993181,0.0,0.0,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0,7,1500.0,10.0,1004.5049509489753,6.696699672993181,0.0,0.0,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0,8,1500.0,10.0,1004.5049509489753,6.696699672993181,0.0,0.0,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.01,3,1529.7404951242056,10.19826996749471,1004.5049509489753,6.696699672993181,29.740495124205587,0.19826996749470388,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.01,4,1538.2160396786614,10.254773597857742,1004.5049509489753,6.696699672993181,38.216039678661026,0.25477359785774023,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.01,5,1557.2241584905412,10.381494389936947,1004.5049509489753,6.696699672993181,57.224158490542216,0.38149438993694823,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.01,6,1569.3863367083648,10.462575578055759,1004.5049509489753,6.696699672993181,69.38633670836403,0.46257557805576,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.01,7,1577.8274258172753,10.518849505448502,1004.5049509489753,6.696699672993181,77.82742581727503,0.5188495054485002,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.01,8,1579.9228713618293,10.532819142412201,1004.5049509489753,6.696699672993181,79.92287136182941,0.5328191424121959,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.02,3,1559.480990248411,10.396539934989406,1004.5049509489753,6.696699672993181,59.480990248411175,0.39653993498940776,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.02,4,1576.4320793573224,10.509547195715486,1004.5049509489753,6.696699672993181,76.43207935732205,0.5095471957154805,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.02,5,1614.4483169810849,10.762988779873897,1004.5049509489753,6.696699672993181,114.44831698108443,0.7629887798738965,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.02,6,1638.772673416728,10.925151156111523,1004.5049509489753,6.696699672993181,138.77267341672805,0.92515115611152,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.02,7,1655.6548516345501,11.037699010897004,1004.5049509489753,6.696699672993181,155.65485163455006,1.0376990108970003,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.02,8,1659.845742723659,11.065638284824393,1004.5049509489753,6.696699672993181,159.84574272365882,1.0656382848243917,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.03,3,1589.2214853726164,10.594809902484112,1004.5049509489753,6.696699672993181,89.22148537261693,0.5948099024841128,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.03,4,1614.648119035983,10.764320793573223,1004.5049509489753,6.696699672993181,114.64811903598302,0.7643207935732208,0.2619,-0.45489,-0.10634,1500.0
150,Medium,0.03,5,1671.6724754716256,11.144483169810849,1004.5049509489753,6.696699672993181,171.67247547162674,1.1444831698108453,0.2619,-0.45489,-0.10634,1500.0
