I,pattern,epsilon,chi,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n
150,Medium,0,3,1118.999989999999,7.459999933333335,1091.60870311042,7.277391354069474,0.0,0.0,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0,4,1118.999989999999,7.459999933333335,1091.60870311042,7.277391354069474,0.0,0.0,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0,5,1118.999989999999,7.459999933333335,1091.60870311042,7.277391354069474,0.0,0.0,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0,6,1118.999989999999,7.459999933333335,1091.60870311042,7.277391354069474,0.0,0.0,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0,7,1118.999989999999,7.459999933333335,1091.60870311042,7.277391354069474,0.0,0.0,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0,8,1118.999989999999,7.459999933333335,1091.60870311042,7.277391354069474,0.0,0.0,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.01,3,1167.7795563644072,7.785197042429383,1091.60870311042,7.277391354069474,48.77956636440712,0.3251971090960476,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.01,4,1190.998469407885,7.939989796052571,1091.60870311042,7.277391354069474,71.99847940788541,0.47998986271923594,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.01,5,1207.8452085383205,8.052301390255469,1091.60870311042,7.277391354069474,88.8452185383203,0.5923014569221353,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.01,6,1219.1949911470163,8.127966607646773,1091.60870311042,7.277391354069474,100.19500114701601,0.6679666743134404,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.01,7,1223.7071650600592,8.15804776706706,1091.60870311042,7.277391354069474,104.70717506005924,0.6980478337337285,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.01,8,1227.6471650600593,8.18431443373373,1091.60870311042,7.277391354069474,108.64717506005937,0.7243145004003957,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.02,3,1216.5591227288146,8.110394151525425,1091.60870311042,7.277391354069474,97.55913272881423,0.6503942181920952,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.02,4,1262.9969488157708,8.419979658771807,1091.60870311042,7.277391354069474,143.99695881577082,0.9599797254384719,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.02,5,1296.6904270766404,8.644602847177604,1091.60870311042,7.277391354069474,177.6904370766406,1.1846029138442706,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.02,6,1319.389992294032,8.795933281960213,1091.60870311042,7.277391354069474,200.39000229403203,1.3359333486268807,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.02,7,1328.4143401201188,8.85609560080079,1091.60870311042,7.277391354069474,209.41435012011848,1.396095667467457,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.02,8,1336.294340120119,8.908628934134127,1091.60870311042,7.277391354069474,217.29435012011874,1.4486290008007914,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.03,3,1265.3386890932218,8.435591260621477,1091.60870311042,7.277391354069474,146.33869909322163,0.9755913272881443,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.03,4,1334.9954282236563,8.899969521491043,1091.60870311042,7.277391354069474,215.9954382236563,1.4399695881577088,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.03,5,1385.535645614961,9.23690430409974,1091.60870311042,7.277391354069474,266.5356556149608,1.7769043707664058,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.03,6,1419.5849934410478,9.463899956273652,1091.60870311042,7.277391354069474,300.58500344104755,2.003900022940317,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.03,7,1433.1215151801778,9.55414343453452,1091.60870311042,7.277391354069474,314.1215251801782,2.0941435012011875,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.03,8,1444.941515180178,9.632943434534521,1091.60870311042,7.277391354069474,325.9415251801783,2.172943501201188,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.04,3,1314.1182554576283,8.760788369717526,1091.60870311042,7.277391354069474,195.11826545762847,1.3007884363841904,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.04,4,1406.9939076315416,9.379959384210277,1091.60870311042,7.277391354069474,287.99391763154165,1.9199594508769438,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.04,5,1474.3808641532812,9.829205761021875,1091.60870311042,7.277391354069474,355.3808741532812,2.3692058276885413,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.04,6,1519.779994588064,10.131866630587094,1091.60870311042,7.277391354069474,400.78000458806406,2.6718666972537615,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.04,7,1537.8286902402367,10.252191268268248,1091.60870311042,7.277391354069474,418.82870024023697,2.792191334934914,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.04,8,1553.5886902402374,10.357257934934916,1091.60870311042,7.277391354069474,434.5887002402375,2.8972580016015828,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.05,3,1362.8978218220366,9.085985478813575,1091.60870311042,7.277391354069474,243.89783182203627,1.6259855454802414,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.05,4,1478.9923870394275,9.859949246929515,1091.60870311042,7.277391354069474,359.9923970394272,2.399949313596182,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.05,5,1563.226082691601,10.421507217944011,1091.60870311042,7.277391354069474,444.22609269160097,2.961507284610674,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.05,6,1619.9749957350803,10.799833304900536,1091.60870311042,7.277391354069474,500.97500573508006,3.339833371567201,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.05,7,1642.5358653002972,10.95023910200198,1091.60870311042,7.277391354069474,523.5358753002968,3.4902391686686447,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.05,8,1662.2358653002966,11.081572435335314,1091.60870311042,7.277391354069474,543.2358753002973,3.6215725020019804,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.06,3,1411.6773881864435,9.411182587909623,1091.60870311042,7.277391354069474,292.67739818644327,1.9511826545762887,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.06,4,1550.990866447313,10.339939109648752,1091.60870311042,7.277391354069474,431.9908764473126,2.8799391763154176,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.06,5,1652.0713012299216,11.013808674866143,1091.60870311042,7.277391354069474,533.0713112299215,3.5538087415328117,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.06,6,1720.1699968820951,11.467799979213972,1091.60870311042,7.277391354069474,601.1700068820951,4.007800045880634,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.06,7,1747.2430403603562,11.64828693573571,1091.60870311042,7.277391354069474,628.2430503603564,4.188287002402375,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.06,8,1770.8830403603563,11.805886935735712,1091.60870311042,7.277391354069474,651.8830503603566,4.345887002402376,0.29752,-0.50752,-0.15774,1119.0
150,Medium,0.07,3,1460.4569545508502,9.736379697005672,1091.60870311042,7.277391354069474,341.45696455085044,2.2763797636723355,0.29752,-0.50752,-0.15774,1119.0
