I,pattern,epsilon,chi,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n
50,Medium,0,3,212.0,4.240000000000001,352.73333333333335,7.054666666666667,0.0,0.0,0.20008,-0.37857,-0.20725,211.0
50,Medium,0,4,212.0,4.240000000000001,352.73333333333335,7.054666666666667,0.0,0.0,0.20008,-0.37857,-0.20725,211.0
50,Medium,0,5,212.0,4.240000000000001,352.73333333333335,7.054666666666667,0.0,0.0,0.20008,-0.37857,-0.20725,211.0
50,Medium,0,6,212.0,4.240000000000001,352.73333333333335,7.054666666666667,0.0,0.0,0.20008,-0.37857,-0.20725,211.0
50,Medium,0,7,212.0,4.240000000000001,352.73333333333335,7.054666666666667,0.0,0.0,0.20008,-0.37857,-0.20725,211.0
50,Medium,0,8,212.0,4.240000000000001,352.73333333333335,7.054666666666667,0.0,0.0,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.01,3,227.496,4.54992,352.73333333333335,7.054666666666667,15.496000000000008,0.3099200000000001,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.01,4,234.25333333333327,4.685066666666668,352.73333333333335,7.054666666666667,22.25333333333333,0.4450666666666666,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.01,5,239.14533333333335,4.782906666666666,352.73333333333335,7.054666666666667,27.14533333333333,0.5429066666666666,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.01,6,242.32200000000003,4.84644,352.73333333333335,7.054666666666667,30.322000000000006,0.60644,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.01,7,243.95600000000002,4.8791199999999995,352.73333333333335,7.054666666666667,31.956,0.63912,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.01,8,246.04666666666665,4.920933333333334,352.73333333333335,7.054666666666667,34.04666666666668,0.6809333333333336,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.02,3,242.99200000000002,4.859840000000001,352.73333333333335,7.054666666666667,30.992000000000015,0.6198400000000002,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.02,4,256.5066666666667,5.130133333333333,352.73333333333335,7.054666666666667,44.50666666666666,0.8901333333333332,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.02,5,266.29066666666665,5.325813333333333,352.73333333333335,7.054666666666667,54.29066666666666,1.0858133333333333,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.02,6,272.64399999999995,5.452880000000001,352.73333333333335,7.054666666666667,60.64400000000001,1.21288,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.02,7,275.91200000000003,5.5182400000000005,352.73333333333335,7.054666666666667,63.912,1.27824,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.02,8,280.09333333333336,5.601866666666666,352.73333333333335,7.054666666666667,68.09333333333336,1.3618666666666672,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.03,3,258.48800000000006,5.16976,352.73333333333335,7.054666666666667,46.488000000000014,0.9297600000000001,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.03,4,278.76,5.5752,352.73333333333335,7.054666666666667,66.76,1.3352,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.03,5,293.436,5.868720000000001,352.73333333333335,7.054666666666667,81.43600000000005,1.6287200000000008,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.03,6,302.966,6.0593200000000005,352.73333333333335,7.054666666666667,90.96599999999998,1.8193199999999996,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.03,7,307.86800000000005,6.157360000000001,352.73333333333335,7.054666666666667,95.868,1.91736,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.03,8,314.14000000000004,6.282800000000001,352.73333333333335,7.054666666666667,102.14,2.0427999999999997,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.04,3,273.98400000000004,5.47968,352.73333333333335,7.054666666666667,61.98400000000003,1.2396800000000003,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.04,4,301.0133333333334,6.020266666666666,352.73333333333335,7.054666666666667,89.01333333333332,1.7802666666666664,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.04,5,320.58133333333336,6.411626666666667,352.73333333333335,7.054666666666667,108.58133333333332,2.1716266666666666,0.20008,-0.37857,-0.20725,211.0
50,Medium,0.04,6,333.2879999999999,6.665760000000001,352.73333333333335,7.054666666666667,121.28800000000003,2.42576,0.20008,-0.37857,-0.20725,211.0
