I,pattern,epsilon,chi,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n
150,Medium,0,3,736.9999899999991,4.913333266666661,1025.3230820904093,6.835487213936065,0.0,0.0,0.13203,-0.40226,-0.112,737.0
150,Medium,0,4,736.9999899999991,4.913333266666661,1025.3230820904093,6.835487213936065,0.0,0.0,0.13203,-0.40226,-0.112,737.0
150,Medium,0,5,736.9999899999991,4.913333266666661,1025.3230820904093,6.835487213936065,0.0,0.0,0.13203,-0.40226,-0.112,737.0
150,Medium,0,6,736.9999899999991,4.913333266666661,1025.3230820904093,6.835487213936065,0.0,0.0,0.13203,-0.40226,-0.112,737.0
150,Medium,0,7,736.9999899999991,4.913333266666661,1025.3230820904093,6.835487213936065,0.0,0.0,0.13203,-0.40226,-0.112,737.0
150,Medium,0,8,736.9999899999991,4.913333266666661,1025.3230820904093,6.835487213936065,0.0,0.0,0.13203,-0.40226,-0.112,737.0
150,Medium,0.01,3,774.6459908974603,5.164306605983065,1025.3230820904093,6.835487213936065,37.64600089746,0.25097333931640015,0.13203,-0.40226,-0.112,737.0
150,Medium,0.01,4,791.6719908974602,5.277813272649734,1025.3230820904093,6.835487213936065,54.672000897460116,0.3644800059830676,0.13203,-0.40226,-0.112,737.0
150,Medium,0.01,5,808.6032216666905,5.390688144444607,1025.3230820904093,6.835487213936065,71.60323166669077,0.47735487777793845,0.13203,-0.40226,-0.112,737.0
150,Medium,0.01,6,819.9373755128449,5.4662491700856295,1025.3230820904093,6.835487213936065,82.93738551284467,0.552915903418964,0.13203,-0.40226,-0.112,737.0
150,Medium,0.01,7,826.7730678205371,5.511820452136912,1025.3230820904093,6.835487213936065,89.77307782053694,0.5984871854702464,0.13203,-0.40226,-0.112,737.0
150,Medium,0.01,8,830.4215293589987,5.536143529059989,1025.3230820904093,6.835487213936065,93.42153935899854,0.6228102623933238,0.13203,-0.40226,-0.112,737.0
150,Medium,0.02,3,812.2919917949199,5.415279945299468,1025.3230820904093,6.835487213936065,75.29200179492,0.5019466786328003,0.13203,-0.40226,-0.112,737.0
150,Medium,0.02,4,846.3439917949199,5.6422932786328,1025.3230820904093,6.835487213936065,109.34400179492023,0.7289600119661352,0.13203,-0.40226,-0.112,737.0
150,Medium,0.02,5,880.2064533333815,5.868043022222543,1025.3230820904093,6.835487213936065,143.20646333338155,0.9547097555558769,0.13203,-0.40226,-0.112,737.0
150,Medium,0.02,6,902.8747610256893,6.019165073504597,1025.3230820904093,6.835487213936065,165.87477102568934,1.105831806837928,0.13203,-0.40226,-0.112,737.0
150,Medium,0.02,7,916.5461456410738,6.1103076376071614,1025.3230820904093,6.835487213936065,179.54615564107388,1.1969743709404927,0.13203,-0.40226,-0.112,737.0
150,Medium,0.02,8,923.8430687179971,6.158953791453315,1025.3230820904093,6.835487213936065,186.8430787179971,1.2456205247866476,0.13203,-0.40226,-0.112,737.0
150,Medium,0.03,3,849.9379926923799,5.666253284615866,1025.3230820904093,6.835487213936065,112.93800269238,0.7529200179491997,0.13203,-0.40226,-0.112,737.0
150,Medium,0.03,4,901.0159926923802,6.006773284615867,1025.3230820904093,6.835487213936065,164.01600269238008,1.0934400179492005,0.13203,-0.40226,-0.112,737.0
150,Medium,0.03,5,951.8096850000722,6.345397900000484,1025.3230820904093,6.835487213936065,214.8096950000722,1.4320646333338145,0.13203,-0.40226,-0.112,737.0
150,Medium,0.03,6,985.8121465385337,6.57208097692356,1025.3230820904093,6.835487213936065,248.812156538534,1.6587477102568933,0.13203,-0.40226,-0.112,737.0
150,Medium,0.03,7,1006.319223461611,6.7087948230774055,1025.3230820904093,6.835487213936065,269.31923346161085,1.7954615564107388,0.13203,-0.40226,-0.112,737.0
150,Medium,0.03,8,1017.2646080769956,6.781764053846639,1025.3230820904093,6.835487213936065,280.26461807699553,1.8684307871799697,0.13203,-0.40226,-0.112,737.0
150,Medium,0.04,3,887.58399358984,5.917226623932267,1025.3230820904093,6.835487213936065,150.58400358984,1.0038933572656006,0.13203,-0.40226,-0.112,737.0
150,Medium,0.04,4,955.6879935898402,6.371253290598937,1025.3230820904093,6.835487213936065,218.68800358984046,1.4579200239322705,0.13203,-0.40226,-0.112,737.0
150,Medium,0.04,5,1023.4129166667634,6.822752777778423,1025.3230820904093,6.835487213936065,286.4129266667631,1.9094195111117538,0.13203,-0.40226,-0.112,737.0
150,Medium,0.04,6,1068.7495320513783,7.124996880342525,1025.3230820904093,6.835487213936065,331.7495420513787,2.211663613675856,0.13203,-0.40226,-0.112,737.0
150,Medium,0.04,7,1096.0923012821477,7.307282008547653,1025.3230820904093,6.835487213936065,359.09231128214776,2.3939487418809855,0.13203,-0.40226,-0.112,737.0
150,Medium,0.04,8,1110.6861474359944,7.404574316239962,1025.3230820904093,6.835487213936065,373.6861574359942,2.4912410495732953,0.13203,-0.40226,-0.112,737.0
150,Medium,0.05,3,925.2299944873001,6.168199963248667,1025.3230820904093,6.835487213936065,188.2300044872999,1.2548666965820001,0.13203,-0.40226,-0.112,737.0
150,Medium,0.05,4,1010.3599944872997,6.735733296582001,1025.3230820904093,6.835487213936065,273.3600044872997,1.8224000299153318,0.13203,-0.40226,-0.112,737.0
150,Medium,0.05,5,1095.0161483334534,7.300107655556357,1025.3230820904093,6.835487213936065,358.0161583334536,2.3867743888896906,0.13203,-0.40226,-0.112,737.0
150,Medium,0.05,6,1151.6869175642241,7.677912783761491,1025.3230820904093,6.835487213936065,414.68692756422325,2.7645795170948237,0.13203,-0.40226,-0.112,737.0
150,Medium,0.05,7,1185.8653791026848,7.905769194017896,1025.3230820904093,6.835487213936065,448.86538910268473,2.9924359273512318,0.13203,-0.40226,-0.112,737.0
150,Medium,0.05,8,1204.1076867949926,8.027384578633283,1025.3230820904093,6.835487213936065,467.1076967949925,3.1140513119666164,0.13203,-0.40226,-0.112,737.0
150,Medium,0.06,3,962.8759953847598,6.419173302565067,1025.3230820904093,6.835487213936065,225.87600538476,1.5058400358983994,0.13203,-0.40226,-0.112,737.0
150,Medium,0.06,4,1065.0319953847604,7.100213302565068,1025.3230820904093,6.835487213936065,328.03200538476017,2.186880035898401,0.13203,-0.40226,-0.112,737.0
150,Medium,0.06,5,1166.6193800001442,7.777462533334294,1025.3230820904093,6.835487213936065,429.6193900001444,2.864129266667629,0.13203,-0.40226,-0.112,737.0
150,Medium,0.06,6,1234.6243030770677,8.230828687180452,1025.3230820904093,6.835487213936065,497.624313077068,3.3174954205137865,0.13203,-0.40226,-0.112,737.0
150,Medium,0.06,7,1275.6384569232218,8.504256379488144,1025.3230820904093,6.835487213936065,538.6384669232217,3.5909231128214776,0.13203,-0.40226,-0.112,737.0
150,Medium,0.06,8,1297.529226153991,8.650194841026604,1025.3230820904093,6.835487213936065,560.5292361539911,3.7368615743599394,0.13203,-0.40226,-0.112,737.0
150,Medium,0.07,3,1000.5219962822197,6.670146641881468,1025.3230820904093,6.835487213936065,263.52200628222,1.7568133752148,0.13203,-0.40226,-0.112,737.0
150,Medium,0.07,4,1119.7039962822207,7.464693308548134,1025.3230820904093,6.835487213936065,382.70400628222023,2.551360041881468,0.13203,-0.40226,-0.112,737.0
150,Medium,0.07,5,1238.2226116668355,8.254817411112237,1025.3230820904093,6.835487213936065,501.22262166683527,3.3414841444455683,0.13203,-0.40226,-0.112,737.0
150,Medium,0.07,6,1317.5616885899126,8.783744590599413,1025.3230820904093,6.835487213936065,580.5616985899123,3.870411323932749,0.13203,-0.40226,-0.112,737.0
150,Medium,0.07,7,1365.4115347437578,9.10274356495839,1025.3230820904093,6.835487213936065,628.4115447437583,4.18941029829172,0.13203,-0.40226,-0.112,737.0
150,Medium,0.07,8,1390.9507655129878,9.273005103419925,1025.3230820904093,6.835487213936065,653.9507755129883,4.359671836753256,0.13203,-0.40226,-0.112,737.0
150,Medium,0.08,3,1038.16799717968,6.921119981197865,1025.3230820904093,6.835487213936065,301.16800717968,2.007786714531201,0.13203,-0.40226,-0.112,737.0
150,Medium,0.08,4,1174.375997179681,7.8291733145312055,1025.3230820904093,6.835487213936065,437.3760071796809,2.915840047864541,0.13203,-0.40226,-0.112,737.0
150,Medium,0.08,5,1309.8258433335257,8.732172288890178,1025.3230820904093,6.835487213936065,572.8258533335262,3.8188390222235076,0.13203,-0.40226,-0.112,737.0
150,Medium,0.08,6,1400.4990741027573,9.336660494018385,1025.3230820904093,6.835487213936065,663.4990841027574,4.423327227351712,0.13203,-0.40226,-0.112,737.0
150,Medium,0.08,7,1455.1846125642958,9.701230750428639,1025.3230820904093,6.835487213936065,718.1846225642955,4.787897483761971,0.13203,-0.40226,-0.112,737.0
150,Medium,0.08,8,1484.3723048719885,9.895815365813258,1025.3230820904093,6.835487213936065,747.3723148719884,4.982482099146591,0.13203,-0.40226,-0.112,737.0
150,Medium,0.09,3,1075.8139980771398,7.172093320514268,1025.3230820904093,6.835487213936065,338.81400807714,2.2587600538476007,0.13203,-0.40226,-0.112,737.0
150,Medium,0.09,4,1229.0479980771402,8.193653320514265,1025.3230820904093,6.835487213936065,492.0480080771398,3.2803200538475994,0.13203,-0.40226,-0.112,737.0
150,Medium,0.09,5,1381.429075000218,9.209527166668115,1025.3230820904093,6.835487213936065,644.4290850002177,4.296193900001449,0.13203,-0.40226,-0.112,737.0
150,Medium,0.09,6,1483.436459615601,9.88957639743734,1025.3230820904093,6.835487213936065,746.4364696156014,4.976243130770675,0.13203,-0.40226,-0.112,737.0
150,Medium,0.09,7,1544.957690384832,10.299717935898878,1025.3230820904093,6.835487213936065,807.9577003848322,5.386384669232216,0.13203,-0.40226,-0.112,737.0
150,Medium,0.09,8,1577.793844230986,10.518625628206575,1025.3230820904093,6.835487213936065,840.793854230986,5.605292361539907,0.13203,-0.40226,-0.112,737.0
150,Medium,0.1,3,1113.4599989746,7.423066659830665,1025.3230820904093,6.835487213936065,376.4600089745998,2.5097333931640002,0.13203,-0.40226,-0.112,737.0
150,Medium,0.1,4,1283.7199989745998,8.558133326497332,1025.3230820904093,6.835487213936065,546.7200089745994,3.6448000598306636,0.13203,-0.40226,-0.112,737.0
150,Medium,0.1,5,1453.0323066669075,9.686882044446048,1025.3230820904093,6.835487213936065,716.0323166669071,4.773548777779381,0.13203,-0.40226,-0.112,737.0
150,Medium,0.1,6,1566.3738451284462,10.442492300856316,1025.3230820904093,6.835487213936065,829.3738551284465,5.5291590341896475,0.13203,-0.40226,-0.112,737.0
150,Medium,0.1,7,1634.7307682053693,10.898205121369127,1025.3230820904093,6.835487213936065,897.7307782053695,5.9848718547024635,0.13203,-0.40226,-0.112,737.0
150,Medium,0.1,8,1671.215383589985,11.141435890599896,1025.3230820904093,6.835487213936065,934.215393589985,6.228102623933233,0.13203,-0.40226,-0.112,737.0
