I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm
100,0,3,6.339999999999998,7.892673274494882,6.34,0.0
100,0,4,6.339999999999998,7.892673274494882,6.34,0.0
100,0,5,6.339999999999998,7.892673274494882,6.34,0.0
100,0,6,6.339999999999998,7.892673274494882,6.34,0.0
100,0,7,6.339999999999998,7.892673274494882,6.34,0.0
100,0,8,6.339999999999998,7.892673274494882,6.34,0.0
100,0.01,3,6.6061287131823,7.892673274494882,6.34,0.2661287131823022
100,0.01,4,6.755741584469432,7.892673274494882,6.34,0.4157415844694305
100,0.01,5,6.832199010212006,7.892673274494882,6.34,0.49219901021200535
100,0.01,6,6.899929703281307,7.892673274494882,6.34,0.5599297032813112
100,0.01,7,6.930200000311015,7.892673274494882,6.34,0.5902000003110145
100,0.01,8,6.973040594370419,7.892673274494882,6.34,0.6330405943704205
100,0.02,3,6.872257426364603,7.892673274494882,6.34,0.5322574263646044
100,0.02,4,7.171483168938863,7.892673274494882,6.34,0.831483168938861
100,0.02,5,7.324398020424013,7.892673274494882,6.34,0.9843980204240107
100,0.02,6,7.459859406562624,7.892673274494882,6.34,1.1198594065626224
100,0.02,7,7.52040000062203,7.892673274494882,6.34,1.180400000622029
100,0.02,8,7.606081188740842,7.892673274494882,6.34,1.266081188740841
100,0.03,3,7.138386139546903,7.892673274494882,6.34,0.7983861395469063
100,0.03,4,7.587224753408294,7.892673274494882,6.34,1.247224753408292
100,0.03,5,7.8165970306360135,7.892673274494882,6.34,1.4765970306360146
100,0.03,6,8.019789109843934,7.892673274494882,6.34,1.679789109843935
100,0.03,7,8.110600000933044,7.892673274494882,6.34,1.770600000933043
100,0.03,8,8.239121783111258,7.892673274494882,6.34,1.8991217831112617
100,0.04,3,7.404514852729205,7.892673274494882,6.34,1.0645148527292088
100,0.04,4,8.002966337877723,7.892673274494882,6.34,1.662966337877722
100,0.04,5,8.308796040848023,7.892673274494882,6.34,1.9687960408480214
100,0.04,6,8.579718813125247,7.892673274494882,6.34,2.239718813125245
100,0.04,7,8.700800001244057,7.892673274494882,6.34,2.360800001244058
100,0.04,8,8.872162377481683,7.892673274494882,6.34,2.532162377481682
100,0.05,3,7.670643565911509,7.892673274494882,6.34,1.3306435659115103
100,0.05,4,8.418707922347158,7.892673274494882,6.34,2.078707922347155
100,0.05,5,8.80099505106002,7.892673274494882,6.34,2.4609950510600225
100,0.05,6,9.139648516406558,7.892673274494882,6.34,2.799648516406558
100,0.05,7,9.291000001555073,7.892673274494882,6.34,2.9510000015550752
100,0.05,8,9.505202971852102,7.892673274494882,6.34,3.1652029718521035
100,0.06,3,7.936772279093813,7.892673274494882,6.34,1.5967722790938126
100,0.06,4,8.834449506816583,7.892673274494882,6.34,2.494449506816584
100,0.06,5,9.293194061272029,7.892673274494882,6.34,2.953194061272029
100,0.06,6,9.699578219687869,7.892673274494882,6.34,3.35957821968787
100,0.06,7,9.88120000186609,7.892673274494882,6.34,3.541200001866086
100,0.06,8,10.138243566222524,7.892673274494882,6.34,3.7982435662225233
100,0.07,3,8.202900992276112,7.892673274494882,6.34,1.8629009922761128
100,0.07,4,9.250191091286018,7.892673274494882,6.34,2.910191091286016
100,0.07,5,9.785393071484037,7.892673274494882,6.34,3.445393071484038
100,0.07,6,10.259507922969181,7.892673274494882,6.34,3.919507922969183
100,0.07,7,10.471400002177102,7.892673274494882,6.34,4.131400002177104
100,0.07,8,10.771284160592948,7.892673274494882,6.34,4.431284160592947
100,0.08,3,8.469029705458416,7.892673274494882,6.34,2.1290297054584175
100,0.08,4,9.665932675755446,7.892673274494882,6.34,3.325932675755444
100,0.08,5,10.27759208169604,7.892673274494882,6.34,3.937592081696043
100,0.08,6,10.819437626250489,7.892673274494882,6.34,4.47943762625049
100,0.08,7,11.061600002488117,7.892673274494882,6.34,4.721600002488116
100,0.08,8,11.404324754963367,7.892673274494882,6.34,5.064324754963364
100,0.09,3,8.735158418640715,7.892673274494882,6.34,2.395158418640717
100,0.09,4,10.081674260224876,7.892673274494882,6.34,3.7416742602248747
100,0.09,5,10.769791091908047,7.892673274494882,6.34,4.429791091908045
100,0.09,6,11.379367329531814,7.892673274494882,6.34,5.039367329531811
100,0.09,7,11.651800002799131,7.892673274494882,6.34,5.311800002799133
100,0.09,8,12.03736534933379,7.892673274494882,6.34,5.6973653493337855
100,0.1,3,9.001287131823018,7.892673274494882,6.34,2.6612871318230207
100,0.1,4,10.497415844694311,7.892673274494882,6.34,4.15741584469431
100,0.1,5,11.261990102120047,7.892673274494882,6.34,4.921990102120045
100,0.1,6,11.939297032813117,7.892673274494882,6.34,5.599297032813116
100,0.1,7,12.242000003110148,7.892673274494882,6.34,5.9020000031101505
100,0.1,8,12.670405943704207,7.892673274494882,6.34,6.330405943704207
