I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm
150,0,3,7.459999933333335,7.277391354069474,7.46,0.0
150,0,4,7.459999933333335,7.277391354069474,7.46,0.0
150,0,5,7.459999933333335,7.277391354069474,7.46,0.0
150,0,6,7.459999933333335,7.277391354069474,7.46,0.0
150,0,7,7.459999933333335,7.277391354069474,7.46,0.0
150,0,8,7.459999933333335,7.277391354069474,7.46,0.0
150,0.01,3,7.785197042429383,7.277391354069474,7.46,0.3251971090960476
150,0.01,4,7.939989796052571,7.277391354069474,7.46,0.47998986271923594
150,0.01,5,8.052301390255469,7.277391354069474,7.46,0.5923014569221353
150,0.01,6,8.127966607646773,7.277391354069474,7.46,0.6679666743134404
150,0.01,7,8.15804776706706,7.277391354069474,7.46,0.6980478337337285
150,0.01,8,8.18431443373373,7.277391354069474,7.46,0.7243145004003957
150,0.02,3,8.110394151525425,7.277391354069474,7.46,0.6503942181920952
150,0.02,4,8.419979658771807,7.277391354069474,7.46,0.9599797254384719
150,0.02,5,8.644602847177604,7.277391354069474,7.46,1.1846029138442706
150,0.02,6,8.795933281960213,7.277391354069474,7.46,1.3359333486268807
150,0.02,7,8.85609560080079,7.277391354069474,7.46,1.396095667467457
150,0.02,8,8.908628934134127,7.277391354069474,7.46,1.4486290008007914
150,0.03,3,8.435591260621477,7.277391354069474,7.46,0.9755913272881443
150,0.03,4,8.899969521491043,7.277391354069474,7.46,1.4399695881577088
150,0.03,5,9.23690430409974,7.277391354069474,7.46,1.7769043707664058
150,0.03,6,9.463899956273652,7.277391354069474,7.46,2.003900022940317
150,0.03,7,9.55414343453452,7.277391354069474,7.46,2.0941435012011875
150,0.03,8,9.632943434534521,7.277391354069474,7.46,2.172943501201188
150,0.04,3,8.760788369717526,7.277391354069474,7.46,1.3007884363841904
150,0.04,4,9.379959384210277,7.277391354069474,7.46,1.9199594508769438
150,0.04,5,9.829205761021875,7.277391354069474,7.46,2.3692058276885413
150,0.04,6,10.131866630587094,7.277391354069474,7.46,2.6718666972537615
150,0.04,7,10.252191268268248,7.277391354069474,7.46,2.792191334934914
150,0.04,8,10.357257934934916,7.277391354069474,7.46,2.8972580016015828
150,0.05,3,9.085985478813575,7.277391354069474,7.46,1.6259855454802414
150,0.05,4,9.859949246929515,7.277391354069474,7.46,2.399949313596182
150,0.05,5,10.421507217944011,7.277391354069474,7.46,2.961507284610674
150,0.05,6,10.799833304900536,7.277391354069474,7.46,3.339833371567201
150,0.05,7,10.95023910200198,7.277391354069474,7.46,3.4902391686686447
150,0.05,8,11.081572435335314,7.277391354069474,7.46,3.6215725020019804
150,0.06,3,9.411182587909623,7.277391354069474,7.46,1.9511826545762887
150,0.06,4,10.339939109648752,7.277391354069474,7.46,2.8799391763154176
150,0.06,5,11.013808674866143,7.277391354069474,7.46,3.5538087415328117
150,0.06,6,11.467799979213972,7.277391354069474,7.46,4.007800045880634
150,0.06,7,11.64828693573571,7.277391354069474,7.46,4.188287002402375
150,0.06,8,11.805886935735712,7.277391354069474,7.46,4.345887002402376
150,0.07,3,9.736379697005672,7.277391354069474,7.46,2.2763797636723355
150,0.07,4,10.819928972367988,7.277391354069474,7.46,3.3599290390346566
150,0.07,5,11.606110131788274,7.277391354069474,7.46,4.146110198454944
150,0.07,6,12.135766653527414,7.277391354069474,7.46,4.67576672019408
150,0.07,7,12.346334769469433,7.277391354069474,7.46,4.8863348361361005
150,0.07,8,12.530201436136096,7.277391354069474,7.46,5.070201502802763
150,0.08,3,10.061576806101714,7.277391354069474,7.46,2.601576872768381
150,0.08,4,11.299918835087224,7.277391354069474,7.46,3.8399189017538875
150,0.08,5,12.198411588710414,7.277391354069474,7.46,4.7384116553770825
150,0.08,6,12.803733327840849,7.277391354069474,7.46,5.343733394507523
150,0.08,7,13.044382603203163,7.277391354069474,7.46,5.584382669869828
150,0.08,8,13.2545159365365,7.277391354069474,7.46,5.7945160032031655
150,0.09,3,10.386773915197766,7.277391354069474,7.46,2.9267739818644336
150,0.09,4,11.779908697806457,7.277391354069474,7.46,4.3199087644731256
150,0.09,5,12.790713045632545,7.277391354069474,7.46,5.330713112299208
150,0.09,6,13.471700002154282,7.277391354069474,7.46,6.01170006882095
150,0.09,7,13.742430436936898,7.277391354069474,7.46,6.282430503603559
150,0.09,8,13.978830436936896,7.277391354069474,7.46,6.518830503603561
150,0.1,3,10.71197102429382,7.277391354069474,7.46,3.251971090960483
150,0.1,4,12.259898560525697,7.277391354069474,7.46,4.799898627192364
150,0.1,5,13.383014502554676,7.277391354069474,7.46,5.923014569221348
150,0.1,6,14.139666676467732,7.277391354069474,7.46,6.679666743134402
150,0.1,7,14.44047827067062,7.277391354069474,7.46,6.980478337337289
150,0.1,8,14.703144937337298,7.277391354069474,7.46,7.243145004003961
