it,I,D,S,objective_value,time,lagrange,lp-bound
1,4,14,3,40.0,0.09199881553649902,31.5,40.00000000017944
2,4,14,3,27.22,0.17200136184692383,20.522,27.222222241665737
3,4,14,3,19.42,0.1210014820098877,15.348,19.422222271909444
4,4,14,3,15.52,0.13399791717529297,12.791,15.522222241018406
5,4,14,3,14.4,0.3435332775115967,12.581,14.400000024022392
6,4,14,3,12.8,0.2569289207458496,12.085,12.800000000000608
7,4,14,3,12.8,0.3219566345214844,12.529,12.800000007706956
8,4,14,3,12.8,0.225968599319458,12.377,12.800000000304525
9,4,14,3,12.8,0.31399965286254883,12.657,12.800000016948523
10,4,14,3,12.8,0.3061487674713135,12.8,12.800000000058919
10,4,14,3,12.8,0.3061487674713135,12.8,12.800000000058919
