it,I,D,S,objective_value,time,lagrange,lp-bound
1,4,14,3,23.0,0.0572890043258667,-12.36,23.000000000121418
2,4,14,3,18.13,0.0839916467666626,3.755,18.125000000007862
3,4,14,3,14.16,0.12199115753173828,4.849,14.160000000032527
4,4,14,3,14.12,0.0734967589378357,4.86,14.120000000035107
5,4,14,3,14.0,0.10198551416397095,4.988,14.000000000001096
6,4,14,3,13.21,0.10845053195953369,3.958,13.20765957446821
7,4,14,3,12.26,0.14896196126937866,4.986,12.257920000014018
8,4,14,3,11.98,0.12897038459777832,4.509,11.982953500258382
9,4,14,3,11.5,0.09399062395095825,6.702,11.500965540777816
10,4,14,3,11.05,0.1901807188987732,7.223,11.04672594987945
11,4,14,3,11.0,0.18275302648544312,8.403,10.996725862895477
1,4,14,3,23.0,0.059245288372039795,-12.36,23.000000000121418
2,4,14,3,18.13,0.08109265565872192,3.755,18.125000000007862
3,4,14,3,14.16,0.10920768976211548,4.849,14.160000000032527
4,4,14,3,14.12,0.06924813985824585,4.86,14.120000000035107
5,4,14,3,14.0,0.10074293613433838,4.988,14.000000000001096
6,4,14,3,13.21,0.13522940874099731,3.958,13.20765957446821
7,4,14,3,12.26,0.1507265567779541,4.986,12.257920000014018
8,4,14,3,11.98,0.12344026565551758,4.509,11.982953500258382
9,4,14,3,11.5,0.08825570344924927,6.702,11.500965540777816
10,4,14,3,11.05,0.18297016620635986,7.223,11.04672594987945
11,4,14,3,11.0,0.13671982288360596,8.403,10.996725862895477
12,4,14,3,10.99,0.14594507217407227,7.428,10.98815480979022
13,4,14,3,10.96,0.12923651933670044,7.512,10.956058657033239
14,4,14,3,10.94,0.2974976897239685,8.699,10.93969918730344
15,4,14,3,10.93,0.33502036333084106,9.967,10.931201960237033
16,4,14,3,10.86,0.2834848165512085,9.37,10.855186429211436
17,4,14,3,10.81,0.12873613834381104,8.304,10.813261021298494
18,4,14,3,10.79,0.1584727168083191,9.289,10.785317116532324
19,4,14,3,10.6,0.23272675275802612,9.408,10.60259991157513
20,4,14,3,10.6,0.2531931400299072,9.987,10.59694907356888
21,4,14,3,10.59,0.23550575971603394,10.587,10.590382609812195
22,4,14,3,10.59,0.28506016731262207,10.587,10.59017042612419
1,4,14,3,23.0,0.050908029079437256,-12.36,23.000000000121418
2,4,14,3,18.13,0.0734856128692627,3.755,18.125000000007862
3,4,14,3,14.16,0.09606999158859253,4.849,14.160000000032527
4,4,14,3,14.12,0.06427818536758423,4.86,14.120000000035107
5,4,14,3,14.0,0.08804631233215332,4.988,14.000000000001096
6,4,14,3,13.21,0.10442662239074707,3.958,13.20765957446821
7,4,14,3,12.26,0.16073840856552124,4.986,12.257920000014018
8,4,14,3,11.98,0.12472254037857056,4.509,11.982953500258382
9,4,14,3,11.5,0.09424841403961182,6.702,11.500965540777816
10,4,14,3,11.05,0.1670249104499817,7.223,11.04672594987945
11,4,14,3,11.0,0.1332523226737976,8.403,10.996725862895477
12,4,14,3,10.99,0.13394439220428467,7.428,10.98815480979022
13,4,14,3,10.96,0.12196427583694458,7.512,10.956058657033239
14,4,14,3,10.94,0.24269670248031616,8.699,10.93969918730344
15,4,14,3,10.93,0.3257995843887329,9.967,10.931201960237033
16,4,14,3,10.86,0.17437517642974854,9.37,10.855186429211436
17,4,14,3,10.81,0.14349740743637085,8.304,10.813261021298494
18,4,14,3,10.79,0.17699873447418213,9.289,10.785317116532324
19,4,14,3,10.6,0.2382606863975525,9.408,10.60259991157513
20,4,14,3,10.6,0.26434051990509033,9.987,10.59694907356888
21,4,14,3,10.59,0.27789199352264404,10.587,10.590382609812195
22,4,14,3,10.59,0.31081509590148926,10.587,10.59017042612419
23,4,14,3,10.59,0.3467485308647156,10.59,10.589808944559845
24,4,14,3,10.59,0.3095002770423889,10.59,10.589808952077442
25,4,14,3,10.59,0.33426839113235474,10.59,10.589808947262021
26,4,14,3,10.59,0.284575879573822,10.59,10.589808973809632
27,4,14,3,10.59,0.40824705362319946,10.59,10.589808971442674
28,4,14,3,10.59,0.3138430118560791,10.59,10.589808944248587
29,4,14,3,10.59,0.2774812579154968,10.59,10.589808993085203
30,4,14,3,10.59,0.2619883418083191,10.59,10.589808947331266
31,4,14,3,10.59,0.3168250322341919,10.59,10.589808944190947
32,4,14,3,10.59,0.25774914026260376,10.59,10.58980894416417
33,4,14,3,10.84,3.873599052429199,10.84,
