I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n
100,0,3,8.96,7.089603947,8.96,0,8.96,7.089603947,8.96,0
100,0,4,8.96,7.202,8.96,0,8.96,7.089603947,8.96,0
100,0,5,8.96,7.60141,8.96,0,8.96,7.089603947,8.96,0
100,0,6,8.96,7.48149,8.96,0,8.96,7.089603947,8.96,0
100,0,7,8.96,7.11933,8.96,0,8.96,7.089603947,8.96,0
100,0.02,3,9.0024,4.16634,8.96,0.0424,9.458946534,7.089603947,8.96,0.498946534
100,0.02,4,9.0376,3.9804,8.8298,0.2078,9.672271287,7.089603947,8.96,0.712271287
100,0.02,5,9.0634,3.64277,8.9298,0.1336,9.851918812,7.089603947,8.96,0.891918812
100,0.02,6,9.0912,3.61287,8.9572,0.13397,9.965548515,7.089603947,8.96,1.005548515
100,0.02,7,9.1254,3.7199,8.9617,0.16372,10.03725743,7.089603947,8.96,1.077257425
100,0.04,3,9.0436,4.3098,9.0023,0.04132,9.957893069,7.089603947,8.96,0.997893069
100,0.04,4,9.1196,3.8603,8.7036,0.41604,10.38454257,7.089603947,8.96,1.424542574
100,0.04,5,9.1688,3.6399,9.0014,0.16741,10.74383762,7.089603947,8.96,1.783837623
100,0.04,6,9.2268,3.57584,9.0448,0.18205,10.97109703,7.089603947,8.96,2.011097029
100,0.04,7,9.2904,3.67515,9.051,0.23941,11.11451485,7.089603947,8.96,2.154514851
100,0.06,3,9.083,4.13861,9.0195,0.0635,10.4568396,7.089603947,8.96,1.496839603
100,0.06,4,9.19,3.89129,9.0344,0.15564,11.09681386,7.089603947,8.96,2.136813861
100,0.06,5,9.2726,3.53257,9.07,0.2026,11.63575643,7.089603947,8.96,2.675756435
100,0.06,6,9.3448,3.44703,9.1045,0.24025,11.97664554,7.089603947,8.96,3.016645544
100,0.06,7,9.4324,3.44921,9.1397,0.2927,12.19177228,7.089603947,8.96,3.231772276
100,0.08,3,9.12,4.20663,9.0304,0.0896,10.95578614,7.089603947,8.96,1.995786138
100,0.08,4,9.2608,3.72059,9.0782,0.18258,11.80908515,7.089603947,8.96,2.849085147
100,0.08,5,9.3556,3.39871,9.1207,0.23491,12.52767525,7.089603947,8.96,3.567675246
100,0.08,6,9.4472,3.35683,9.1659,0.28126,12.98219406,7.089603947,8.96,4.022194058
100,0.08,7,9.5404,3.2497,9.2016,0.33882,13.2690297,7.089603947,8.96,4.309029702
100,0.1,3,9.157,4.11891,9.049,0.10799,11.45473267,7.089603947,8.96,2.494732672
100,0.1,4,9.32,3.65683,9.1187,0.20129,12.52135643,7.089603947,8.96,3.561356434
100,0.1,5,9.423,3.23119,9.2002,0.2228,13.41959406,7.089603947,8.96,4.459594058
100,0.1,6,9.524,2.9204,9.2919,0.23212,13.98774257,7.089603947,8.96,5.027742573
100,0.1,7,9.631,3.01792,9.3126,0.31843,14.34628713,7.089603947,8.96,5.386287127
